city,temperature,description,icon
Modinagar,29.3,few clouds,02n

day,min_temp,max_temp,description,icon
Wednesday,28.49,33.4,moderate rain,10d
Thursday,27.64,33.08,light rain,10d
Friday,27.45,34.21,light rain,10d
Saturday,28.18,35.91,moderate rain,10d
Sunday,28.72,36.75,light rain,10d
city,temperature,description,icon
Bilaspur,41.29,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,29.84,41.33,broken clouds,04d
Thursday,31.38,43.36,overcast clouds,04d
Friday,31.04,39.11,overcast clouds,04d
Saturday,31.18,40.44,broken clouds,04d
Sunday,29.95,45.1,light rain,10d
city,temperature,description,icon
Alwar,42.39,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,28.78,42.42,clear sky,01d
Thursday,31.42,44.52,clear sky,01d
Friday,33.26,45.84,scattered clouds,03d
Saturday,33.76,46.1,clear sky,01d
Sunday,34.04,44.98,scattered clouds,03d
city,temperature,description,icon
Panipat,42.64,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,27.75,42.69,clear sky,01d
Thursday,29.46,45.62,clear sky,01d
Friday,32.37,47.03,clear sky,01d
Saturday,32.86,48.03,clear sky,01d
Sunday,36.56,47.37,clear sky,01d
city,temperature,description,icon
Karnal,42.31,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,27.17,42.36,clear sky,01d
Thursday,28.49,45.53,clear sky,01d
Friday,31.7,46.89,clear sky,01d
Saturday,32.91,48.02,clear sky,01d
Sunday,35.85,47.27,clear sky,01d
city,temperature,description,icon
Sonipat,41.0,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,28.17,41.71,clear sky,01d
Thursday,30.39,45.78,clear sky,01d
Friday,32.89,46.94,clear sky,01d
Saturday,33.01,48.18,clear sky,01d
Sunday,35.9,47.24,clear sky,01d
city,temperature,description,icon
Rourkela,40.3,broken clouds,04d

day,min_temp,max_temp,description,icon
Wednesday,25.46,41.52,broken clouds,04d
Thursday,27.29,43.44,broken clouds,04d
Friday,27.6,41.73,light rain,10d
Saturday,29.84,36.65,overcast clouds,04d
Sunday,26.4,45.35,light rain,10d
city,temperature,description,icon
Imphal,31.95,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,19.04,34.92,clear sky,01d
Thursday,20.06,36.04,clear sky,01d
Friday,20.59,35.28,few clouds,02d
Saturday,20.81,34.7,light rain,10d
Sunday,21.05,33.69,light rain,10d
city,temperature,description,icon
Hapur,42.53,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,27.63,42.57,clear sky,01d
Thursday,29.18,45.55,clear sky,01d
Friday,31.74,47.31,few clouds,02d
Saturday,32.71,48.51,clear sky,01d
Sunday,35.25,47.94,clear sky,01d
city,temperature,description,icon
New Delhi,40.67,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,32.41,41.43,clear sky,01d
Thursday,34.57,45.27,clear sky,01d
Friday,36.0,46.25,scattered clouds,03d
Saturday,37.24,47.56,clear sky,01d
